station_id,station_name,agency,city,state,latitude,longitude,source,notes
ANAND_VIHAR,Anand Vihar,DPCC,Delhi,Delhi,28.6469,77.3157,OpenAQ/CPCB station list,CPCB/DPCC CAAQMS station; pilot location
ITO,ITO,DPCC,Delhi,Delhi,28.628624,77.24106,config/stations.csv (Team A),
OKHLA_PHASE_2,Okhla Phase-II,DPCC,Delhi,Delhi,28.530785,77.271255,config/stations.csv (Team A),
AYA_NAGAR,Aya Nagar,DPCC,Delhi,Delhi,28.4706914,77.1099364,config/stations.csv (Team A),
RK_PURAM,R.K.Puram,DPCC,Delhi,Delhi,28.674045,77.131023,config/stations.csv (Team A),
DHYAN_CHAND_STADIUM,Major Dhyan Chand National Stadium,DPCC,Delhi,Delhi,28.611281,77.237738,config/stations.csv (Team A),
MANDIR_MARG,Mandir Marg,DPCC,Delhi,Delhi,28.636429,77.201067,config/stations.csv (Team A),
PUNJABI_BAGH,Punjabi Bagh,DPCC,Delhi,Delhi,28.563262,77.186937,config/stations.csv (Team A),
JAHANGIRPURI,Jahangirpuri,DPCC,Delhi,Delhi,28.73282,77.170633,config/stations.csv (Team A),
DWARKA_SECTOR_8,Dwarka-Sector 8,DPCC,Delhi,Delhi,28.5710274,77.0719006,config/stations.csv (Team A),
