station_id,year,pollutant,total_records,valid_records,missing_records,missing_pct,negative_records,out_of_bounds_records
ANAND_VIHAR,2023,PM2.5,32367,30582,1785,5.51,0,0
ANAND_VIHAR,2023,PM10,32367,30472,1895,5.85,0,0
ANAND_VIHAR,2023,NO,32367,27912,4455,13.76,0,0
ANAND_VIHAR,2023,NO2,32367,28463,3904,12.06,0,0
ANAND_VIHAR,2023,NOx,32367,28072,4295,13.27,0,0
ANAND_VIHAR,2023,NH3,32367,27118,5249,16.22,0,0
ANAND_VIHAR,2023,SO2,32367,26783,5584,17.25,0,0
ANAND_VIHAR,2023,CO,32367,25087,7280,22.49,0,0
ANAND_VIHAR,2023,OZONE,32367,30144,2223,6.87,0,0
ANAND_VIHAR,2024,PM2.5,30214,27627,2587,8.56,0,0
ANAND_VIHAR,2024,PM10,30214,28429,1785,5.91,0,0
ANAND_VIHAR,2024,NO,30214,28638,1576,5.22,0,0
ANAND_VIHAR,2024,NO2,30214,29118,1096,3.63,0,0
ANAND_VIHAR,2024,NOx,30214,29149,1065,3.52,0,0
ANAND_VIHAR,2024,NH3,30214,29020,1194,3.95,0,0
ANAND_VIHAR,2024,SO2,30214,26524,3690,12.21,0,0
ANAND_VIHAR,2024,CO,30214,29176,1038,3.44,0,0
ANAND_VIHAR,2024,OZONE,30214,27710,2504,8.29,0,0
ANAND_VIHAR,2025,PM2.5,33430,31923,1507,4.51,0,0
ANAND_VIHAR,2025,PM10,33430,32149,1281,3.83,0,0
ANAND_VIHAR,2025,NO,33430,29832,3598,10.76,0,0
ANAND_VIHAR,2025,NO2,33430,31998,1432,4.28,0,0
ANAND_VIHAR,2025,NOx,33430,31696,1734,5.19,0,0
ANAND_VIHAR,2025,NH3,33430,32071,1359,4.07,0,0
ANAND_VIHAR,2025,SO2,33430,29136,4294,12.84,0,0
ANAND_VIHAR,2025,CO,33430,30828,2602,7.78,0,0
ANAND_VIHAR,2025,OZONE,33430,29519,3911,11.7,0,0
ITO,2023,PM2.5,32347,31566,781,2.41,0,0
ITO,2023,PM10,32347,31644,703,2.17,0,0
ITO,2023,NO,32347,31252,1095,3.39,0,0
ITO,2023,NO2,32347,31029,1318,4.07,0,0
ITO,2023,NOx,32347,31188,1159,3.58,0,0
ITO,2023,NH3,32347,31275,1072,3.31,0,0
ITO,2023,SO2,32347,31506,841,2.6,0,0
ITO,2023,CO,32347,31609,738,2.28,0,0
ITO,2023,OZONE,32347,31821,526,1.63,0,0
ITO,2024,PM2.5,34618,32557,2061,5.95,0,0
ITO,2024,PM10,34618,32730,1888,5.45,0,0
ITO,2024,NO,34618,34143,475,1.37,0,0
ITO,2024,NO2,34618,33326,1292,3.73,0,0
ITO,2024,NOx,34618,33992,626,1.81,0,0
ITO,2024,NH3,34618,33760,858,2.48,0,0
ITO,2024,SO2,34618,32888,1730,5.0,0,0
ITO,2024,CO,34618,34203,415,1.2,0,0
ITO,2024,OZONE,34618,33377,1241,3.58,0,0
ITO,2025,PM2.5,34339,32318,2021,5.89,0,0
ITO,2025,PM10,34339,32334,2005,5.84,0,0
ITO,2025,NO,34339,33999,340,0.99,0,0
ITO,2025,NO2,34339,33780,559,1.63,0,0
ITO,2025,NOx,34339,33989,350,1.02,0,0
ITO,2025,NH3,34339,33991,348,1.01,0,0
ITO,2025,SO2,34339,32981,1358,3.95,0,0
ITO,2025,CO,34339,33971,368,1.07,0,0
ITO,2025,OZONE,34339,33934,405,1.18,0,0
OKHLA_PHASE_2,2023,PM2.5,34065,33603,462,1.36,0,0
OKHLA_PHASE_2,2023,PM10,34065,33403,662,1.94,0,0
OKHLA_PHASE_2,2023,NO,34065,32222,1843,5.41,0,0
OKHLA_PHASE_2,2023,NO2,34065,32539,1526,4.48,0,0
OKHLA_PHASE_2,2023,NOx,34065,32416,1649,4.84,0,0
OKHLA_PHASE_2,2023,NH3,34065,31480,2585,7.59,0,0
OKHLA_PHASE_2,2023,SO2,34065,31185,2880,8.45,0,0
OKHLA_PHASE_2,2023,CO,34065,32036,2029,5.96,0,0
OKHLA_PHASE_2,2023,OZONE,34065,32281,1784,5.24,0,0
OKHLA_PHASE_2,2024,PM2.5,34941,34582,359,1.03,0,0
OKHLA_PHASE_2,2024,PM10,34941,34318,623,1.78,0,0
OKHLA_PHASE_2,2024,NO,34941,32845,2096,6.0,0,0
OKHLA_PHASE_2,2024,NO2,34941,33088,1853,5.3,0,0
OKHLA_PHASE_2,2024,NOx,34941,33131,1810,5.18,0,0
OKHLA_PHASE_2,2024,NH3,34941,33432,1509,4.32,0,0
OKHLA_PHASE_2,2024,SO2,34941,33194,1747,5.0,0,0
OKHLA_PHASE_2,2024,CO,34941,31306,3635,10.4,0,0
OKHLA_PHASE_2,2024,OZONE,34941,31851,3090,8.84,0,0
OKHLA_PHASE_2,2025,PM2.5,34625,33828,797,2.3,0,0
OKHLA_PHASE_2,2025,PM10,34625,33546,1079,3.12,0,0
OKHLA_PHASE_2,2025,NO,34625,32485,2140,6.18,0,0
OKHLA_PHASE_2,2025,NO2,34625,32986,1639,4.73,0,0
OKHLA_PHASE_2,2025,NOx,34625,32923,1702,4.92,0,0
OKHLA_PHASE_2,2025,NH3,34625,32929,1696,4.9,0,0
OKHLA_PHASE_2,2025,SO2,34625,33019,1606,4.64,0,0
OKHLA_PHASE_2,2025,CO,34625,31774,2851,8.23,0,0
OKHLA_PHASE_2,2025,OZONE,34625,32510,2115,6.11,0,0
AYA_NAGAR,2023,PM2.5,32833,30741,2092,6.37,0,0
AYA_NAGAR,2023,PM10,32833,32355,478,1.46,0,0
AYA_NAGAR,2023,NO,32833,32700,133,0.41,0,0
AYA_NAGAR,2023,NO2,32833,32705,128,0.39,0,0
AYA_NAGAR,2023,NOx,32833,32826,7,0.02,0,0
AYA_NAGAR,2023,NH3,32833,0,32833,100.0,0,0
AYA_NAGAR,2023,SO2,32833,0,32833,100.0,0,0
