station_id,source,variable,expected_hours,valid_observations,missing_observations,missing_percentage,longest_missing_gap_hours,scientific_reason
ANAND_VIHAR,CPCB_GROUND,OZONE_ground,26304,21542,4762,18.1,236,Primary target (High Data Health)
ANAND_VIHAR,CPCB_GROUND,NO2_ground,26304,22245,4059,15.43,255,Primary target (High Data Health)
ANAND_VIHAR,CPCB_GROUND,CO_ground,26304,21026,5278,20.07,235,Normal sensor downtime
ANAND_VIHAR,CPCB_GROUND,PM2.5_ground,26304,22307,3997,15.2,257,Normal sensor downtime
ANAND_VIHAR,CPCB_GROUND,PM10_ground,26304,22470,3834,14.58,257,Normal sensor downtime
ANAND_VIHAR,CPCB_GROUND,SO2_ground,26304,20597,5707,21.7,258,Normal sensor downtime
ANAND_VIHAR,CPCB_GROUND,NH3_ground,26304,21858,4446,16.9,255,Normal sensor downtime
ANAND_VIHAR,SENTINEL5P_SATELLITE,sat_NO2,1096,804,292,26.64,192,Intermittent orbit overpass (~13:30 UTC) and cloud/QA filtering
ANAND_VIHAR,SENTINEL5P_SATELLITE,sat_CO,1096,695,401,36.59,120,Intermittent orbit overpass (~13:30 UTC) and cloud/QA filtering
ANAND_VIHAR,SENTINEL5P_SATELLITE,sat_HCHO,1096,867,229,20.89,120,Intermittent orbit overpass (~13:30 UTC) and cloud/QA filtering
ANAND_VIHAR,ERA5_METEOROLOGY,era5_temperature_c,35064,35064,0,0.0,0,Continuous numerical weather reanalysis
ANAND_VIHAR,ERA5_METEOROLOGY,era5_wind_speed,35064,35064,0,0.0,0,Continuous numerical weather reanalysis
ANAND_VIHAR,ERA5_METEOROLOGY,era5_surface_pressure_hpa,35064,35064,0,0.0,0,Continuous numerical weather reanalysis
ANAND_VIHAR,ERA5_METEOROLOGY,era5_boundary_layer_height,35064,35064,0,0.0,0,Continuous numerical weather reanalysis
ITO,CPCB_GROUND,OZONE_ground,26304,25064,1240,4.71,390,Primary target (High Data Health)
ITO,CPCB_GROUND,NO2_ground,26304,24793,1511,5.74,390,Primary target (High Data Health)
ITO,CPCB_GROUND,CO_ground,26304,25204,1100,4.18,383,Normal sensor downtime
ITO,CPCB_GROUND,PM2.5_ground,26304,24341,1963,7.46,383,Normal sensor downtime
ITO,CPCB_GROUND,PM10_ground,26304,24403,1901,7.23,383,Normal sensor downtime
ITO,CPCB_GROUND,SO2_ground,26304,24509,1795,6.82,383,Normal sensor downtime
ITO,CPCB_GROUND,NH3_ground,26304,25027,1277,4.85,390,Normal sensor downtime
ITO,SENTINEL5P_SATELLITE,sat_NO2,1096,803,293,26.73,96,Intermittent orbit overpass (~13:30 UTC) and cloud/QA filtering
ITO,SENTINEL5P_SATELLITE,sat_CO,1096,698,398,36.31,96,Intermittent orbit overpass (~13:30 UTC) and cloud/QA filtering
ITO,SENTINEL5P_SATELLITE,sat_HCHO,1096,874,222,20.26,96,Intermittent orbit overpass (~13:30 UTC) and cloud/QA filtering
ITO,ERA5_METEOROLOGY,era5_temperature_c,35064,35064,0,0.0,0,Continuous numerical weather reanalysis
ITO,ERA5_METEOROLOGY,era5_wind_speed,35064,35064,0,0.0,0,Continuous numerical weather reanalysis
ITO,ERA5_METEOROLOGY,era5_surface_pressure_hpa,35064,35064,0,0.0,0,Continuous numerical weather reanalysis
ITO,ERA5_METEOROLOGY,era5_boundary_layer_height,35064,35064,0,0.0,0,Continuous numerical weather reanalysis
OKHLA_PHASE_2,CPCB_GROUND,OZONE_ground,26304,23845,2459,9.35,166,Primary target (High Data Health)
OKHLA_PHASE_2,CPCB_GROUND,NO2_ground,26304,24434,1870,7.11,166,Primary target (High Data Health)
OKHLA_PHASE_2,CPCB_GROUND,CO_ground,26304,23836,2468,9.38,166,Normal sensor downtime
OKHLA_PHASE_2,CPCB_GROUND,PM2.5_ground,26304,25447,857,3.26,166,Normal sensor downtime
OKHLA_PHASE_2,CPCB_GROUND,PM10_ground,26304,25254,1050,3.99,166,Normal sensor downtime
OKHLA_PHASE_2,CPCB_GROUND,SO2_ground,26304,24544,1760,6.69,166,Normal sensor downtime
OKHLA_PHASE_2,CPCB_GROUND,NH3_ground,26304,24201,2103,7.99,166,Normal sensor downtime
OKHLA_PHASE_2,SENTINEL5P_SATELLITE,sat_NO2,1096,805,291,26.55,96,Intermittent orbit overpass (~13:30 UTC) and cloud/QA filtering
OKHLA_PHASE_2,SENTINEL5P_SATELLITE,sat_CO,1096,714,382,34.85,96,Intermittent orbit overpass (~13:30 UTC) and cloud/QA filtering
OKHLA_PHASE_2,SENTINEL5P_SATELLITE,sat_HCHO,1096,889,207,18.89,72,Intermittent orbit overpass (~13:30 UTC) and cloud/QA filtering
OKHLA_PHASE_2,ERA5_METEOROLOGY,era5_temperature_c,35064,35064,0,0.0,0,Continuous numerical weather reanalysis
OKHLA_PHASE_2,ERA5_METEOROLOGY,era5_wind_speed,35064,35064,0,0.0,0,Continuous numerical weather reanalysis
OKHLA_PHASE_2,ERA5_METEOROLOGY,era5_surface_pressure_hpa,35064,35064,0,0.0,0,Continuous numerical weather reanalysis
OKHLA_PHASE_2,ERA5_METEOROLOGY,era5_boundary_layer_height,35064,35064,0,0.0,0,Continuous numerical weather reanalysis
AYA_NAGAR,CPCB_GROUND,OZONE_ground,26304,24954,1350,5.13,54,Primary target (High Data Health)
AYA_NAGAR,CPCB_GROUND,NO2_ground,26304,25237,1067,4.06,48,Primary target (High Data Health)
AYA_NAGAR,CPCB_GROUND,CO_ground,26304,25478,826,3.14,41,Normal sensor downtime
AYA_NAGAR,CPCB_GROUND,PM2.5_ground,26304,24231,2073,7.88,57,Normal sensor downtime
AYA_NAGAR,CPCB_GROUND,PM10_ground,26304,25099,1205,4.58,41,Normal sensor downtime
AYA_NAGAR,CPCB_GROUND,SO2_ground,26304,0,26304,100.0,26304,Sensor absent at this station
AYA_NAGAR,CPCB_GROUND,NH3_ground,26304,0,26304,100.0,26304,Sensor absent at this station
AYA_NAGAR,SENTINEL5P_SATELLITE,sat_NO2,1096,816,280,25.55,96,Intermittent orbit overpass (~13:30 UTC) and cloud/QA filtering
AYA_NAGAR,SENTINEL5P_SATELLITE,sat_CO,1096,731,365,33.3,96,Intermittent orbit overpass (~13:30 UTC) and cloud/QA filtering
AYA_NAGAR,SENTINEL5P_SATELLITE,sat_HCHO,1096,865,231,21.08,552,Intermittent orbit overpass (~13:30 UTC) and cloud/QA filtering
AYA_NAGAR,ERA5_METEOROLOGY,era5_temperature_c,35064,35064,0,0.0,0,Continuous numerical weather reanalysis
AYA_NAGAR,ERA5_METEOROLOGY,era5_wind_speed,35064,35064,0,0.0,0,Continuous numerical weather reanalysis
AYA_NAGAR,ERA5_METEOROLOGY,era5_surface_pressure_hpa,35064,35064,0,0.0,0,Continuous numerical weather reanalysis
AYA_NAGAR,ERA5_METEOROLOGY,era5_boundary_layer_height,35064,35064,0,0.0,0,Continuous numerical weather reanalysis
RK_PURAM,CPCB_GROUND,OZONE_ground,26304,23815,2489,9.46,163,Primary target (High Data Health)
RK_PURAM,CPCB_GROUND,NO2_ground,26304,24474,1830,6.96,162,Primary target (High Data Health)
RK_PURAM,CPCB_GROUND,CO_ground,26304,22966,3338,12.69,162,Normal sensor downtime
RK_PURAM,CPCB_GROUND,PM2.5_ground,26304,24394,1910,7.26,162,Normal sensor downtime
RK_PURAM,CPCB_GROUND,PM10_ground,26304,23955,2349,8.93,162,Normal sensor downtime
RK_PURAM,CPCB_GROUND,SO2_ground,26304,22655,3649,13.87,505,Normal sensor downtime
RK_PURAM,CPCB_GROUND,NH3_ground,26304,24384,1920,7.3,162,Normal sensor downtime
RK_PURAM,SENTINEL5P_SATELLITE,sat_NO2,1096,799,297,27.1,120,Intermittent orbit overpass (~13:30 UTC) and cloud/QA filtering
RK_PURAM,SENTINEL5P_SATELLITE,sat_CO,1096,697,399,36.41,96,Intermittent orbit overpass (~13:30 UTC) and cloud/QA filtering
RK_PURAM,SENTINEL5P_SATELLITE,sat_HCHO,1096,855,241,21.99,504,Intermittent orbit overpass (~13:30 UTC) and cloud/QA filtering
RK_PURAM,ERA5_METEOROLOGY,era5_temperature_c,35064,35064,0,0.0,0,Continuous numerical weather reanalysis
RK_PURAM,ERA5_METEOROLOGY,era5_wind_speed,35064,35064,0,0.0,0,Continuous numerical weather reanalysis
RK_PURAM,ERA5_METEOROLOGY,era5_surface_pressure_hpa,35064,35064,0,0.0,0,Continuous numerical weather reanalysis
RK_PURAM,ERA5_METEOROLOGY,era5_boundary_layer_height,35064,35064,0,0.0,0,Continuous numerical weather reanalysis
DHYAN_CHAND_STADIUM,CPCB_GROUND,OZONE_ground,26304,23133,3171,12.06,162,Primary target (High Data Health)
DHYAN_CHAND_STADIUM,CPCB_GROUND,NO2_ground,26304,24930,1374,5.22,162,Primary target (High Data Health)
DHYAN_CHAND_STADIUM,CPCB_GROUND,CO_ground,26304,23532,2772,10.54,165,Normal sensor downtime
DHYAN_CHAND_STADIUM,CPCB_GROUND,PM2.5_ground,26304,24865,1439,5.47,162,Normal sensor downtime
