station_id,product,expected_days,valid_observations,missing_or_cloud_filtered,success_rate_pct
ANAND_VIHAR,NO2,1096,804,292,73.36
ANAND_VIHAR,CO,1096,695,401,63.41
ANAND_VIHAR,HCHO,1096,867,229,79.11
ITO,NO2,1096,803,293,73.27
ITO,CO,1096,698,398,63.69
ITO,HCHO,1096,874,222,79.74
OKHLA_PHASE_2,NO2,1096,805,291,73.45
OKHLA_PHASE_2,CO,1096,714,382,65.15
OKHLA_PHASE_2,HCHO,1096,889,207,81.11
AYA_NAGAR,NO2,1096,816,280,74.45
AYA_NAGAR,CO,1096,731,365,66.7
AYA_NAGAR,HCHO,1096,865,231,78.92
RK_PURAM,NO2,1096,799,297,72.9
RK_PURAM,CO,1096,697,399,63.59
RK_PURAM,HCHO,1096,855,241,78.01
DHYAN_CHAND_STADIUM,NO2,1096,810,286,73.91
DHYAN_CHAND_STADIUM,CO,1096,698,398,63.69
DHYAN_CHAND_STADIUM,HCHO,1096,856,240,78.1
MANDIR_MARG,NO2,1096,801,295,73.08
MANDIR_MARG,CO,1096,698,398,63.69
MANDIR_MARG,HCHO,1096,878,218,80.11
PUNJABI_BAGH,NO2,1096,798,298,72.81
PUNJABI_BAGH,CO,1096,705,391,64.32
PUNJABI_BAGH,HCHO,1096,874,222,79.74
JAHANGIRPURI,NO2,1096,805,291,73.45
JAHANGIRPURI,CO,1096,709,387,64.69
JAHANGIRPURI,HCHO,1096,885,211,80.75
DWARKA_SECTOR_8,NO2,1096,810,286,73.91
DWARKA_SECTOR_8,CO,1096,723,373,65.97
DWARKA_SECTOR_8,HCHO,1096,872,224,79.56
